_lab_Sample Name,_lab_country,_lab_city,_lab_street,Feature 01,Feature 02,Feature 03,Feature 04,Feature 05,Feature 06,Feature 07,Feature 08,Feature 09,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37
Sample 031,3,4,2,1993.706046,2186.850218,6290.28679,22559.88523,115.2840768,307.3378407,59.83014463,5183.687129,835.2988072,463.2497828,141.7104694,1332.635927,80.02650839,8022.023014,31.90694794,287.3211565,472.7858864,128.8334271,34.16857151,6.052639157,8.919292099,170.0732685,187.6949215,332.1203382,5199.125374,9.905860436,420.7183136,10.09949347,165.0154206,930040.6261,7.4939815,484480.3724,151.9226318,27.20643454,12.23625978,3.907821615,4.324968863
Sample 032,3,4,2,3049.6985,2103.91201,6511.540884,22790.28311,122.7647994,267.4207901,51.11516961,5576.474483,867.5231689,530.5640709,158.7785745,1374.789848,93.96103054,8062.899426,26.40965516,292.3899042,481.4803466,129.725146,33.92187895,5.788751816,7.912749573,177.051138,198.3323689,306.9785507,5680.102147,9.817917168,1780.928644,16.29093929,153.3621249,399019.969,8.464384023,151845.5251,158.2172231,29.37711591,12.04973943,4.079437121,4.345167341
Sample 033,3,4,2,2663.276923,2596.916159,7356.679734,21767.30037,133.7190031,360.7482279,62.58034335,5676.84542,960.9263154,556.3879589,151.5436089,1368.566253,94.15869469,8122.452946,26.56584961,283.0204504,449.2655844,136.7912814,34.50987165,6.585181188,8.285657199,167.1076707,186.8114508,297.8227559,5402.077321,9.542857603,420.2207889,10.03423933,127.3763894,47401.46203,6.39488221,781931.9666,163.0807884,25.47905466,11.15296871,4.437161137,4.133171435
Sample 034,3,4,3,2866.379505,2369.841929,6947.70323,22444.15562,129.158346,294.7776111,39.92410285,5370.387994,789.018791,504.9253248,157.8269396,1596.377414,81.44363136,7972.058026,31.3743334,289.4441342,460.8353741,127.511906,31.07861985,6.103513681,8.231828325,163.0574245,188.2480933,307.5726862,4992.251583,9.741206396,420.4535594,10.32417423,197.8180157,342373.5032,7.224497145,100606.3224,147.4938645,27.18435345,11.96245786,3.702005558,4.425071733
Sample 035,3,4,3,2746.430465,2247.332917,6823.475871,22429.16017,126.2576099,281.40252,37.38295158,5643.928845,826.4329995,570.5644772,157.8331284,1401.821586,90.23116717,8212.106269,26.07116526,297.7351757,445.5720809,131.7483303,33.38923261,6.826986564,8.443478279,167.533171,191.0306136,297.577016,6523.543807,10.00107887,420.4652609,10.16606576,127.6535924,735966.1589,7.286667465,294066.3338,160.8605484,32.90145734,11.39829693,4.274216966,4.508349339
Sample 036,3,4,3,2560.490124,2574.256441,7471.748619,21567.58042,130.8395295,330.6672988,44.89004034,5513.732104,860.9267737,555.0762301,175.1294339,1509.304881,91.36691495,8277.998425,26.5584493,307.0024157,448.4042964,128.4198269,32.9683212,6.395191698,7.778457412,166.4582401,175.3266633,286.7822765,5424.682149,9.944718149,420.0897863,10.99807859,135.705492,794682.1573,7.81420954,237373.0197,170.2043937,30.13196045,11.83284116,3.746140316,4.589772569
Sample 037,4,5,1,2833.694829,1254.863461,6546.120187,25482.66105,279.7906926,370.0098395,24.67564422,4143.749848,471.4021904,637.1757582,123.9249823,2922.319373,138.3020807,4795.366327,29.4495203,184.6696433,782.0524968,282.7374794,24.61690338,6.408865414,5.141434997,96.09389438,113.6132681,199.0512574,11763.17838,8.073825774,420.5067296,10.4154852,137.1536863,544905.8982,6.406878581,530872.257,188.6257801,55.12220676,13.49140754,4.082043122,4.377544581
Sample 038,4,5,1,2713.317099,1432.832249,7191.525045,25729.07837,320.3040966,434.2241915,26.07136834,3860.073986,428.5619327,522.2634585,123.3583069,1101.78498,133.5654672,4407.615206,34.68088375,155.871603,721.7696896,259.8864677,22.4148068,6.008820928,4.772928386,107.1893003,113.2159313,180.4214919,8189.242194,8.164120596,420.0765091,10.75433338,127.9787821,686223.463,7.321365074,91498.73134,142.8690571,43.635343,13.64450578,4.652144243,3.930000282
Sample 039,4,5,1,2073.950222,1578.290739,7747.9925,25260.09906,359.3568963,469.9472789,30.24370614,3929.906158,442.9349206,500.6919768,123.2599891,1521.503736,136.8852804,4682.526944,26.48175581,169.3444781,721.7760992,273.955726,22.6095207,5.150013711,5.550450793,99.28168318,100.7481464,174.0998456,7126.543321,8.181916907,420.1665247,10.6933135,127.9430214,893632.6959,6.761239302,405315.4199,172.5572128,36.89348757,13.00684879,4.575981769,3.962773907
Sample 040,4,5,2,3139.701113,1212.619941,6523.213116,25575.32269,259.5433905,352.111185,23.40195347,4093.52085,436.8138135,654.133475,123.7868596,2709.260997,127.5523795,4442.322523,27.7073652,170.2914809,733.8413425,251.5079065,23.21133731,5.892622056,5.111769899,98.99326956,114.5319003,189.8421117,11263.91721,8.118632828,420.74771,10.77064401,127.9810639,54791.78992,7.725649069,104846.2471,159.7316651,57.15968488,13.43049993,3.719069269,3.852511916
Sample 041,4,5,2,2206.772078,1202.764779,5491.398881,27313.70557,255.0249585,321.5473543,20.50961194,2951.219077,297.2405588,353.0726505,123.5115822,972.7324755,100.3667413,3310.463776,23.46505359,132.2267478,607.9161238,210.5423009,20.5225883,4.875252634,5.334895005,84.68599983,94.58220968,169.0628893,6721.679941,7.483480366,420.3345673,10.91226008,127.066964,303661.3797,7.256499375,112283.9622,113.0038142,26.52229198,11.88069136,4.394184578,4.266043373
Sample 042,4,5,2,2246.714892,1280.568074,6051.415093,26551.57087,282.9789855,366.8964185,22.68596548,3308.509055,354.0587741,428.402585,123.5625272,1482.16295,110.5690099,3646.099017,22.4958994,156.0838437,646.7001146,237.1870336,24.30935622,5.218466796,5.39488247,84.42755077,100.7017612,180.9079749,7140.664833,7.258625575,420.305054,10.31067977,127.1952575,46191.55633,7.205449082,784427.8907,133.0981892,39.32890773,12.62181528,3.781624696,4.444964109
Sample 043,4,5,3,3003.765517,1279.619215,6817.847404,25551.85147,289.1166012,380.9207557,25.96958701,4140.3296,445.7753303,608.2685152,123.6847938,1566.921075,133.3519107,4538.570988,24.60798609,172.6206429,745.8783218,264.2261759,22.93829949,5.754783803,4.952309962,98.41264968,117.6708608,198.8608182,11048.51837,8.020994547,420.8188786,10.20471707,127.423406,195476.7636,7.296697946,291570.3179,153.395241,49.49678131,13.18999129,4.152047628,3.762432895
Sample 044,4,5,3,2417.128533,1291.189829,6569.58872,27144.36014,278.1337805,373.8114754,22.83530485,4027.149569,382.3445577,608.3511573,123.0923966,1848.222223,116.1038116,4370.825875,28.61440084,154.8489185,727.4062469,259.8335464,24.77341733,6.137238402,5.260353412,111.3041271,162.6828592,233.971003,9498.092699,7.379522235,420.9820489,10.07287882,127.5370764,720165.8025,6.630093626,603533.4388,159.2118044,49.79573947,12.34115294,4.701927701,4.076643116
Sample 045,4,5,3,1906.520206,1253.645552,6137.687202,26782.69015,278.1852797,349.1938432,21.6393691,3296.460544,333.3421776,366.8193796,123.872579,1026.083609,97.5501158,3550.450492,28.14402875,148.5981432,625.5714359,229.9652511,20.72718009,5.468113288,5.037196911,89.48145234,105.0368213,173.7555173,7764.170624,7.234931272,420.96897,10.58720069,127.4632771,721753.2735,7.043372031,964422.6672,117.3290188,34.98202402,11.97481105,3.683370546,4.297912378
Sample 046,3,6,1,2740.156431,3051.979463,7260.257009,19220.74265,227.9094546,959.0918718,33.68936121,4403.469105,2489.516657,490.6002311,208.3429379,1746.073702,165.5538502,10832.57784,26.03366474,333.7697334,604.7035574,141.9655114,34.62188301,6.97397034,11.56230429,176.4333416,281.9762724,284.3698197,2710.226165,8.971326714,420.5766223,10.54248662,127.6259094,877799.0712,7.23443112,432484.994,207.7623418,18.38177223,9.004489141,4.485575045,4.631980032
Sample 047,3,6,1,2533.445586,3214.639317,7674.987033,19582.45946,248.110869,1018.652089,34.80515834,4859.976192,2468.151869,476.7494637,194.6965942,1836.769552,166.5847861,10357.07484,27.72776258,318.8318696,536.1444646,136.0214587,34.03240338,6.662416694,9.806867824,180.2724094,272.1801862,265.880121,2483.046414,8.140526119,420.233483,10.64408582,127.5025594,582432.9645,7.307534009,694752.1946,217.6567595,21.98477119,9.171836341,4.450540339,4.282273367
Sample 048,3,6,1,3023.646313,3157.044716,7508.59928,19675.37265,209.0666495,933.7951808,30.616351,4473.687579,2339.380664,449.2738343,180.6458825,1725.817677,152.2280752,9907.057343,23.8467373,323.7963871,520.9808933,129.4622003,32.27494003,6.521858728,10.59273763,172.2092902,273.1138248,286.1051996,2623.08685,8.031539956,420.2920985,10.59800526,173.671777,70684.33539,7.795267982,758099.2753,189.3612766,19.40512798,9.135864369,3.927041066,3.780122687
Sample 049,3,6,2,2540.376031,3139.647311,7412.830179,18720.70795,223.3601004,983.5564968,34.81979256,4667.320186,2538.821019,513.672425,229.5093956,1908.740426,177.8803582,11307.30096,32.01110564,349.1952593,593.1012072,153.7144388,35.08863596,7.235478497,12.00936271,181.6983284,280.080845,300.5346229,2926.862345,9.278216606,420.6737643,10.45001973,127.7103519,922744.5702,6.368542756,432642.3261,216.8698923,22.07975029,9.988252233,4.612844291,4.273972955
Sample 050,3,6,2,2503.754687,3184.543886,7670.254431,18598.4791,228.9210912,1009.355561,35.28425469,4570.436601,2468.171364,497.4012511,211.4113411,1815.758249,173.11054,11017.52172,26.34482799,327.2458722,575.2046644,150.0256617,33.69915603,7.200556106,10.57403712,179.1206801,300.3956312,284.465467,2551.598351,8.554507422,420.5737387,10.16255018,127.5694049,800372.0924,7.23946914,655498.0398,208.2085061,20.9450198,9.330121462,4.417023275,4.514602417
Sample 051,3,6,2,2733.276025,3257.221047,7606.794658,19490.00115,243.0129274,1116.593828,33.65687752,4883.829581,2708.329975,579.9211885,203.5236827,2136.961195,189.0773113,11767.56188,32.17482938,352.6346576,557.2519852,146.9159369,37.41549205,7.662570128,11.42228175,181.3922713,342.8203862,292.8415208,2648.393926,8.942375084,1486.999702,10.76492073,127.1570988,285946.8564,8.127932504,109755.0507,221.4650922,22.66128513,9.40655185,4.588393509,4.857812641
