_lab_Type,Isobutane,Butane,c-2-Butene,2-Methyl-1-butene,t-2-Pentene,2-Methyl-2-butene,2<comma>2-Dimethylbutane,2-Methylpentane,Hexane,2<comma>4-Dimethylpentane,Cyclohexane,3-Methylhexane,Heptane,2<comma>4-Dimethylhexane,Toluene,2<comma>3-Dimethylhexane,Ethylbenzene,p-Xylene,1-Methyl-3-ethylbenzene,1<comma>3<comma>5-Trimethylbenzene,1<comma>2<comma>4-Trimethylbenzene,2-Methylnaphthalene,1<comma>3-Butadiene,t-2-Butene,Isopentane,Pentane,c-2-Pentene,Cyclopentane,2<comma>3-Dimethylbutane,3-Methylpentane,Methylcyclopentane,Benzene,2-Methylhexane,2<comma>2<comma>4-Trimethylpentane,Methylcyclohexane,2<comma>3<comma>4-Trimethylpentane,2<comma>3<comma>3-Trimethylpentane,3-Methylheptane,m-Xylene,o-Xylene,1-Methyl-4-ethylbenzene,1-Methyl-2-ethylbenzene,Naphthalene,1-Methylnaphthalene
PU,1.05,3.92,0.09,0.66,1.08,1.58,0.39,3.43,1.66,0.96,0.23,1.1,0.69,0.6,8.89,0.61,2.23,1.17,2.16,1.03,3.11,0.27,0,0.09,7.08,4.88,0.43,1.08,1.02,1.97,1.23,0.36,2.85,4.17,0.37,1.55,0.68,0.37,2.95,1.44,0.96,0.79,0.47,0.12
PU,1.06,3.25,0.38,0.48,0.68,0.97,0.15,2.21,0.84,1.29,0.1,1.28,0.72,1.12,4.1,1.18,0.99,1.05,1.18,0.66,1.9,0.19,0,0.44,7.26,1.21,0.38,0.14,1.53,1.43,1.05,0.88,2.62,11.03,0.56,5.32,6,0.9,2.72,1.49,0.49,0.5,0.29,0.06
PU,1.08,2.63,0.47,0.93,1.1,1.69,0.24,3.69,2.1,0.9,0.13,1.85,1.24,0.71,2.07,0.69,2.88,2.61,2.66,1.3,3.97,0.28,0.01,0.51,6.2,2.63,0.61,0.24,1.34,2.38,1.3,0.74,2.48,3.48,0.32,1.73,1.61,0.65,6.21,3.46,1.2,0.94,0.34,0.13
PU,1.11,2.6,0.46,1.08,1.37,2.06,0.29,3.48,1.79,0.66,0.15,2.33,1.44,0.45,11.77,0.38,2.47,2.27,1.97,0.85,2.79,0.1,0.01,0.5,6.55,2.4,0.76,0.22,0.81,2.36,1.62,3.13,2.89,1.23,0.47,0.38,0,0.78,5.33,2.97,0.89,0.78,0.19,0.05
PU,1.91,2.83,0.23,0.37,0.54,0.75,0.39,2.55,1.66,0.41,0.09,1.93,1.18,0.23,13.73,0.16,2.53,2.86,2,1.18,3.03,0.37,0,0.27,4.33,1.71,0.3,0.16,0.56,1.83,1.02,3.65,2.34,0.33,0.46,0.05,0,0.76,6.92,3.61,0.86,0.78,0.32,0.13
PU,0.82,4.75,0.1,0.34,0.46,0.72,0.74,3.03,1.45,3.26,0.51,1.09,0.6,1.23,3.94,1.21,0.8,0.97,0.68,0.38,1.04,0.09,0,0.09,8.97,2.35,0.25,0.3,2.59,1.9,1.21,1,5.81,10.49,0.62,4.85,5.53,0.57,2.27,1.17,0.3,0.23,0.09,0.03
PU,0.9,1.97,0.72,0.9,1.16,1.75,0.39,4.12,2.68,0.5,0.17,2.19,1.34,6.26,12.04,0.2,2.32,2.66,2.04,1.14,2.99,0.2,0,0.81,6.96,2.85,0.64,0.29,0.9,2.88,1.74,3.68,2.66,0,0.55,0.03,0,0.75,6.47,3.21,0.92,0.64,0.29,0.09
PU,1.47,2.33,0.37,0.57,0.74,1.23,0.22,2.71,2.15,0.39,0.39,1.87,1.38,0.33,11.97,0.23,3.53,3.09,3.04,1.34,4.04,0.1,0.01,0.43,5.4,3.33,0.42,0.32,0.55,1.83,1.31,1.76,2.22,0,0.47,0.03,0,0.98,7.56,4.23,1.32,1.37,0.33,0.04
PU,0.74,4.91,0.17,0.04,0.05,0.07,0.4,2.5,2.1,0.93,0.04,1.56,1.31,0.85,8.69,0.99,1.82,1.8,1.84,0.91,3.6,0.15,0.01,0.32,4.57,3.4,0.03,0.37,1.28,1.66,0.8,2.71,2.55,7.21,0.1,4.16,3.96,0.79,4.42,2.87,0.84,0.89,0.36,0.07
PU,1,7.39,0.02,0.08,0.1,0.15,0.3,1.76,0.53,4.4,0.12,0.86,0.73,1.51,2.55,1.45,0.51,0.51,0.52,0.3,0.91,0.06,0,0.02,5.91,0.57,0.05,0.19,1.72,1.11,0.72,0.64,12.55,17.55,0.27,5.68,3.13,0.42,1.29,0.79,0.23,0.23,0.06,0.02
